rule_id,source_phase,frozen_observation,frozen_guard,frozen_destination,runtime_destination,destination_path,destination_verdict,frozen_commit,runtime_commit,metadata_verdict,missing_metadata,implementation_status
P0_PRIMARY,PRIMARY_PROPOSAL,PRIMARY_AVAILABLE,controller returns finite primary proposal,C0,C0,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
P0_NONE,PRIMARY_PROPOSAL,NO_CANDIDATE,no lawful primary proposal,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
C0_PASS,C0,C0_PASS,candidate admissibility complete,L2,L2,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
C0_FAIL_LOCAL_ALT,C0,C0_FAIL_LOCAL,candidate-local defect and fallback/alt prerequisites hold,ALT_SEARCH,ALT_SEARCH,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
C0_FAIL_LOCAL_ARB,C0,C0_FAIL_LOCAL,candidate-local defect without lawful search prerequisites,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
C0_UNKNOWN_LOCAL_ALT,C0,C0_UNKNOWN_LOCAL,candidate-local computation unknown with lawful search prerequisites,ALT_SEARCH,ALT_SEARCH,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
C0_UNKNOWN_LOCAL_ARB,C0,C0_UNKNOWN_LOCAL,candidate-local computation unknown without search prerequisites,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
C0_UNKNOWN_GLOBAL,C0,C0_UNKNOWN_GLOBAL,actuator/map/time authority unresolved,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L2_PASS,L2,L2_PASS,H1 full segment certified,L3,L3,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L2_FAIL_ALT,L2,L2_FAIL,H1 finite unsafe witness and search prerequisites hold,ALT_SEARCH,ALT_SEARCH,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L2_FAIL_ARB,L2,L2_FAIL,H1 finite unsafe witness without search prerequisites,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L2_UNKNOWN_LOCAL_ALT,L2,L2_UNKNOWN_LOCAL,candidate-local computation unknown with search prerequisites,ALT_SEARCH,ALT_SEARCH,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L2_UNKNOWN_LOCAL_ARB,L2,L2_UNKNOWN_LOCAL,candidate-local unknown without prerequisites,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L2_UNKNOWN_GLOBAL,L2,L2_UNKNOWN_GLOBAL,map/authority/health unknown,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L3_FOUND,L3,L3_WITNESS_FOUND,sufficient frozen backup/terminal witness exists,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L3_ABSENT_ALT,L3,L3_WITNESS_ABSENT,no witness in frozen contract and search prerequisites hold,ALT_SEARCH,ALT_SEARCH,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L3_ABSENT_ARB,L3,L3_WITNESS_ABSENT,no witness without search prerequisites,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L3_UNKNOWN_LOCAL_ALT,L3,L3_UNKNOWN_LOCAL,candidate-local witness computation unknown with prerequisites,ALT_SEARCH,ALT_SEARCH,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L3_UNKNOWN_LOCAL_ARB,L3,L3_UNKNOWN_LOCAL,candidate-local witness unknown without prerequisites,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
L3_UNKNOWN_GLOBAL,L3,L3_UNKNOWN_GLOBAL,global witness authority unresolved,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ALT_NEXT,ALT_SEARCH,ALT_AVAILABLE,deadline open and finite lawful candidate remains,C0,C0,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ALT_DONE,ALT_SEARCH,ALT_EXHAUSTED,finite library exhausted,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ALT_GUARD,ALT_SEARCH,DEADLINE_GUARD,guard or expiry preempts search,ARBITRATION,ARBITRATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ARB_NAV,ARBITRATION,ARBITRATE,new witness ready and deadline open,COMMIT,COMMIT,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,true,true,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ARB_BACKUP,ARBITRATION,ARBITRATE,no new timely navigation and retained backup valid,BACKUP_EXECUTION,BACKUP_EXECUTION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ARB_TERMINAL,ARBITRATION,ARBITRATE,no navigation/backup and terminal action already eligible,COMMIT,COMMIT,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,true,true,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ARB_EVAL_TERMINAL,ARBITRATION,ARBITRATE,deadline open and terminal not yet evaluated,TERMINAL_EVALUATION,TERMINAL_EVALUATION,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
ARB_BOUNDARY,ARBITRATION,ARBITRATE,no method-certified executable action,ASSURANCE_BOUNDARY,ASSURANCE_BOUNDARY,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
BACKUP_COMMIT,BACKUP_EXECUTION,EXECUTE_RETAINED_BACKUP,retained token validity checked at current state/time,COMMIT,COMMIT,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,true,true,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
TERM_ELIGIBLE,TERMINAL_EVALUATION,TERMINAL_MEMBER_ELIGIBLE,terminal set and zero-hold action certified,COMMIT,COMMIT,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,true,true,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
TERM_NOT_ELIGIBLE,TERMINAL_EVALUATION,TERMINAL_MEMBER_NOT_ELIGIBLE,membership/action eligibility fails,ASSURANCE_BOUNDARY,ASSURANCE_BOUNDARY,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
TERM_UNKNOWN,TERMINAL_EVALUATION,TERMINAL_UNKNOWN,terminal evidence unknown,ASSURANCE_BOUNDARY,ASSURANCE_BOUNDARY,TransitionRule.destination_phase / RuntimePhase enum,DERIVED_FROM_DESTINATION_FIELD,false,false,INCOMPLETE_CARRIER,old_backup_retained;new_backup_created;theorem_interpretation;may_start_next_stage;may_start_new_search;requires_arbitration,AUDITED_NOT_CONFORMANT
