committed,environment,match_formal,method,mismatch,repeat,repeat_deterministic,repeat_difference,selected_candidate,semantic_status,state_id,typed_reason
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},terminal-zero-hold,CERTIFIED_TERMINAL_ACTION,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,CERTIFIED_TERMINAL_ACTION
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},1,,,PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B0_CURRENT_CBF_ONLY,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,B0_CURRENT_FULL_QUERY_AND_ACTUATOR_PASS
True,E1_REPLICA_GT_FINE,True,B1_PLUS_SWEPT_SEGMENT,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,B1_IMMEDIATE_SEGMENT_PASS
True,E1_REPLICA_GT_FINE,True,B2_PLUS_TERMINAL_BACKUP,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,CERTIFIED_NOMINAL_CONTROL
True,E1_REPLICA_GT_FINE,True,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,{},2,True,{},PRIMARY-CBF-FILTERED,CERTIFIED_NOMINAL_CONTROL,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,CERTIFIED_NOMINAL_CONTROL
