scenario_id,scenario,selected_architecture,expected_session,expected_typed_class,plant_replay,oracle_eligible,runtime_execution
TCC-SC-33,oracle rejects plant unresolved,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-34,BYPASS append failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-35,BYPASS finalize failure,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-36,process crash before plant,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-37,process crash around acknowledgement,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-38,process crash after plant before trace,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-39,process crash after trace before finalize,B,NON_READY_OR_RECOVERY,EXPLICIT,FORBIDDEN,NO,0
TCC-SC-40,memory-only capability boundary,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-41,durable capability not implemented,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-42,journal upgrade trigger,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-43,shared TraceWriter revalidation gate,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-44,Coordinator consumes typed transaction only,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-45,Supervisor authority unchanged,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
TCC-SC-46,PlantCommit authority unchanged,B,READY_OR_FINALIZED,EXPLICIT,FORBIDDEN,CONDITIONAL_COMPLETE_TRACE,0
