rule_id,source_phase,guard,observation/result,reason_scope,retained_backup_requirement,deadline_requirement,candidate_requirement,destination_phase,action_authority,commit_allowed,old_backup_retained,new_backup_created,theorem_interpretation,failure_code_if_any,runtime_phase_enum,guard_function,result_enum,runtime_destination,commit_authority,fallback,deadline_behavior,failure_mapping,target_function,mapping_cardinality
L2_PASS,L2,H1 full segment certified,L2_PASS,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,L3,NONE,false,true,false,L2 pass is not recoverability,,L2,guard_l2_pass,L2_PASS,L3,NONE,NONE,OPEN,NONE,L2Runtime.certify,EXACTLY_ONCE
L2_FAIL_ALT,L2,H1 finite unsafe witness and search prerequisites hold,L2_FAIL,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,ALT_SEARCH,NONE,false,true,false,reject candidate only,F_PRIMARY_FUTURE_SAFETY_FAIL,L2,guard_l2_fail_alt,L2_FAIL,ALT_SEARCH,NONE,NONE,OPEN,F_PRIMARY_FUTURE_SAFETY_FAIL,L2Runtime.certify,EXACTLY_ONCE
L2_FAIL_ARB,L2,H1 finite unsafe witness without search prerequisites,L2_FAIL,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,no global impossibility claim,F_PRIMARY_FUTURE_SAFETY_FAIL,L2,guard_l2_fail_arb,L2_FAIL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_PRIMARY_FUTURE_SAFETY_FAIL,L2Runtime.certify,EXACTLY_ONCE
L2_UNKNOWN_LOCAL_ALT,L2,candidate-local computation unknown with search prerequisites,L2_UNKNOWN_LOCAL,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,ALT_SEARCH,NONE,false,true,false,typed unknown optional search,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L2,guard_l2_unknown_local_alt,L2_UNKNOWN_LOCAL,ALT_SEARCH,NONE,NONE,OPEN,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L2Runtime.certify,EXACTLY_ONCE
L2_UNKNOWN_LOCAL_ARB,L2,candidate-local unknown without prerequisites,L2_UNKNOWN_LOCAL,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,fallback or boundary,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L2,guard_l2_unknown_local_arb,L2_UNKNOWN_LOCAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L2Runtime.certify,EXACTLY_ONCE
L2_UNKNOWN_GLOBAL,L2,map/authority/health unknown,L2_UNKNOWN_GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,no alternative by default,F_MAP_REFERENCE_UNRESOLVED,L2,guard_l2_unknown_global,L2_UNKNOWN_GLOBAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_MAP_REFERENCE_UNRESOLVED,L2Runtime.certify,EXACTLY_ONCE
L3_FOUND,L3,sufficient frozen backup/terminal witness exists,L3_WITNESS_FOUND,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,true,witness sufficient not maximal,,L3,guard_l3_found,L3_WITNESS_FOUND,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,OPEN,NONE,L3Runtime.prepare_bundle,EXACTLY_ONCE
L3_ABSENT_ALT,L3,no witness in frozen contract and search prerequisites hold,L3_WITNESS_ABSENT,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,ALT_SEARCH,NONE,false,true,false,absence is not unrecoverability,F_PRIMARY_BACKUP_FAIL,L3,guard_l3_absent_alt,L3_WITNESS_ABSENT,ALT_SEARCH,NONE,NONE,OPEN,F_PRIMARY_BACKUP_FAIL,L3Runtime.prepare_bundle,EXACTLY_ONCE
L3_ABSENT_ARB,L3,no witness without search prerequisites,L3_WITNESS_ABSENT,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,fallback or boundary,F_PRIMARY_BACKUP_FAIL,L3,guard_l3_absent_arb,L3_WITNESS_ABSENT,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_PRIMARY_BACKUP_FAIL,L3Runtime.prepare_bundle,EXACTLY_ONCE
L3_UNKNOWN_LOCAL_ALT,L3,candidate-local witness computation unknown with prerequisites,L3_UNKNOWN_LOCAL,CANDIDATE_LOCAL_COMPUTATION,VALID,OPEN,PRIMARY_OR_ALTERNATIVE,ALT_SEARCH,NONE,false,true,false,typed local unknown,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L3,guard_l3_unknown_local_alt,L3_UNKNOWN_LOCAL,ALT_SEARCH,NONE,NONE,OPEN,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L3Runtime.prepare_bundle,EXACTLY_ONCE
L3_UNKNOWN_LOCAL_ARB,L3,candidate-local witness unknown without prerequisites,L3_UNKNOWN_LOCAL,CANDIDATE_LOCAL_COMPUTATION,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,fallback or boundary,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L3,guard_l3_unknown_local_arb,L3_UNKNOWN_LOCAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_CANDIDATE_LOCAL_COMPUTE_UNKNOWN,L3Runtime.prepare_bundle,EXACTLY_ONCE
L3_UNKNOWN_GLOBAL,L3,global witness authority unresolved,L3_UNKNOWN_GLOBAL,GLOBAL_AUTHORITY_OR_EVIDENCE,ANY,ANY,PRIMARY_OR_ALTERNATIVE,ARBITRATION,NONE,false,true,false,not unrecoverability,F_MAP_REFERENCE_UNRESOLVED,L3,guard_l3_unknown_global,L3_UNKNOWN_GLOBAL,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_MAP_REFERENCE_UNRESOLVED,L3Runtime.prepare_bundle,EXACTLY_ONCE
ALT_NEXT,ALT_SEARCH,deadline open and finite lawful candidate remains,ALT_AVAILABLE,NONE,VALID,OPEN,ALTERNATIVE,C0,NONE,false,true,false,alternative must restart C0-L2-L3,,ALT_SEARCH,guard_alt_next,ALT_AVAILABLE,C0,NONE,NONE,OPEN,NONE,AlternativeProvider.next_native,EXACTLY_ONCE
ALT_DONE,ALT_SEARCH,finite library exhausted,ALT_EXHAUSTED,NONE,ANY,ANY,NONE,ARBITRATION,NONE,false,true,false,finite exhaustion only,F_ALTERNATIVE_LIBRARY_EXHAUSTED,ALT_SEARCH,guard_alt_done,ALT_EXHAUSTED,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_ALTERNATIVE_LIBRARY_EXHAUSTED,AlternativeProvider.next_native,EXACTLY_ONCE
ALT_GUARD,ALT_SEARCH,guard or expiry preempts search,DEADLINE_GUARD,NONE,ANY,GUARD_OR_EXPIRED,NONE,ARBITRATION,NONE,false,true,false,no post-deadline search,F_RUNTIME_DEADLINE,ALT_SEARCH,guard_alt_guard,DEADLINE_GUARD,ARBITRATION,NONE,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,GUARD_OR_EXPIRED,F_RUNTIME_DEADLINE,AlternativeProvider.next_native,EXACTLY_ONCE
ARB_NAV,ARBITRATION,new witness ready and deadline open,ARBITRATE,NONE,ANY,OPEN,PRIMARY_OR_ALTERNATIVE,COMMIT,CERTIFIED_NAVIGATION,true,true,true,atomic handoff creates next-cycle fallback,,ARBITRATION,guard_arb_nav,ARBITRATE,COMMIT,CERTIFIED_NAVIGATION,NONE,OPEN,NONE,Supervisor.arbitrate_then_PlantCommitAdapter.commit,EXACTLY_ONCE
ARB_BACKUP,ARBITRATION,no new timely navigation and retained backup valid,ARBITRATE,NONE,VALID,ANY,NONE,BACKUP_EXECUTION,RETAINED_BACKUP,false,true,false,execute certified retained tail,,ARBITRATION,guard_arb_backup,ARBITRATE,BACKUP_EXECUTION,RETAINED_BACKUP,NONE,ANY,NONE,Supervisor.arbitrate,EXACTLY_ONCE
ARB_TERMINAL,ARBITRATION,no navigation/backup and terminal action already eligible,ARBITRATE,NONE,NONE_OR_INVALID_OR_EXHAUSTED,ANY,NONE,COMMIT,CERTIFIED_TERMINAL,true,false,false,terminal membership alone is insufficient,,ARBITRATION,guard_arb_terminal,ARBITRATE,COMMIT,CERTIFIED_TERMINAL,NONE,ANY,NONE,Supervisor.arbitrate_then_PlantCommitAdapter.commit,EXACTLY_ONCE
ARB_EVAL_TERMINAL,ARBITRATION,deadline open and terminal not yet evaluated,ARBITRATE,NONE,NONE_OR_INVALID_OR_EXHAUSTED,OPEN,NONE,TERMINAL_EVALUATION,NONE,false,false,false,terminal evaluation before guard reserve,,ARBITRATION,guard_arb_eval_terminal,ARBITRATE,TERMINAL_EVALUATION,NONE,NONE,OPEN,NONE,Supervisor.arbitrate,EXACTLY_ONCE
ARB_BOUNDARY,ARBITRATION,no method-certified executable action,ARBITRATE,NONE,NONE_OR_INVALID_OR_EXHAUSTED,ANY,NONE,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,false,false,false,external emergency outside theorem,F_NO_METHOD_CERTIFIED_ACTION,ARBITRATION,guard_arb_boundary,ARBITRATE,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,ANY,F_NO_METHOD_CERTIFIED_ACTION,Supervisor.arbitrate,EXACTLY_ONCE
BACKUP_COMMIT,BACKUP_EXECUTION,retained token validity checked at current state/time,EXECUTE_RETAINED_BACKUP,NONE,VALID,ANY,NONE,COMMIT,RETAINED_BACKUP,true,true,false,method-certified fallback action,,BACKUP_EXECUTION,guard_backup_commit,EXECUTE_RETAINED_BACKUP,COMMIT,RETAINED_BACKUP,NONE,ANY,NONE,Supervisor.select_retained_backup_then_PlantCommitAdapter.commit,EXACTLY_ONCE
TERM_ELIGIBLE,TERMINAL_EVALUATION,terminal set and zero-hold action certified,TERMINAL_MEMBER_ELIGIBLE,NONE,NONE_OR_INVALID_OR_EXHAUSTED,OPEN,NONE,COMMIT,CERTIFIED_TERMINAL,true,false,false,terminal fallback context only,,TERMINAL_EVALUATION,guard_term_eligible,TERMINAL_MEMBER_ELIGIBLE,COMMIT,CERTIFIED_TERMINAL,NONE,OPEN,NONE,TerminalRuntime.evaluate,EXACTLY_ONCE
TERM_NOT_ELIGIBLE,TERMINAL_EVALUATION,membership/action eligibility fails,TERMINAL_MEMBER_NOT_ELIGIBLE,NONE,NONE_OR_INVALID_OR_EXHAUSTED,OPEN,NONE,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,false,false,false,no safe-stop claim,F_TERMINAL_NOT_CERTIFIED,TERMINAL_EVALUATION,guard_term_not_eligible,TERMINAL_MEMBER_NOT_ELIGIBLE,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,OPEN,F_TERMINAL_NOT_CERTIFIED,TerminalRuntime.evaluate,EXACTLY_ONCE
TERM_UNKNOWN,TERMINAL_EVALUATION,terminal evidence unknown,TERMINAL_UNKNOWN,GLOBAL_AUTHORITY_OR_EVIDENCE,NONE_OR_INVALID_OR_EXHAUSTED,OPEN,NONE,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,false,false,false,unknown not certified,F_TERMINAL_NOT_CERTIFIED,TERMINAL_EVALUATION,guard_term_unknown,TERMINAL_UNKNOWN,ASSURANCE_BOUNDARY,OUTSIDE_METHOD,RETAINED_BACKUP_OR_TERMINAL_OR_BOUNDARY,OPEN,F_TERMINAL_NOT_CERTIFIED,TerminalRuntime.evaluate,EXACTLY_ONCE
