row_id,metric_name,formula,formula_source,threshold,units,comparator,threshold_source,first_introduced_task,first_commit,source_file,source_line,rationale_text,affected_maps,later_versions,changed_without_calibration,decision_role,scientifically_defensible,current_recommendation,failure_implication,non_implication
T00011,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.25,ratio,<=,PROJECT_HEURISTIC,tum_e3_bounded_hparam_sweep_v1,f32320a7674ded0e791f40fa33ab519b171e5543,reproduction/cross_dataset/tum_e3_bounded_hparam_sweep_v1/build_e3_sweep_configs.py,60,"""acceptable"": {""AbsRel_lte"": 0.25, ""delta1_gte"": 0.75},",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00012,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.7,ratio,>=,PROJECT_HEURISTIC,tum_exact_pr33_c3_refinement_ablation_v1,873db911631d30f724c8547269454c6cc492cca0,reproduction/cross_dataset/tum_exact_pr33_c3_refinement_ablation_v1/audit_e3_static_safer_g0.py,341,"degraded = technical_pass and raw[""overlap""] >= 0.70 and .50 <= raw[""median_ratio""] <= 2.00 and raw[""AbsRel""] <= .50 and raw[""delta1""] >= .50",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00013,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.75,ratio,<,PROJECT_HEURISTIC,tum_exact_pr33_c3_refinement_ablation_v1,873db911631d30f724c8547269454c6cc492cca0,reproduction/cross_dataset/tum_exact_pr33_c3_refinement_ablation_v1/TUM_E3_10K_STATIC_SAFER_G0_COMPLETION_AUDIT_V1.md,31,"Raw E3 depth remains overlap `1.0`, AbsRel `0.23898788744139324`, RMSE `0.5588985630282832`, delta1 `0.5833243883404367`, delta2 `0.8224508122670446`, delta3 `0.9241887650699403`, median ratio `0.9569382071495056`. The static technical gate and full degraded gate pass. The acceptable depth/G0 gate fails solely because `delta1 < 0.75`.",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00014,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.75,ratio,>=,PROJECT_HEURISTIC,tum_tuned_surface_geometry_ablation_v1,9256d24ae1806cc0b2e54cb870fa24517f7c9cef,reproduction/cross_dataset/tum_tuned_surface_geometry_ablation_v1/analyze_tuned_surface_results.py,53,"screen_a = item[""AbsRel""] <= 0.22 and item[""delta1""] >= 0.75",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00015,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,0.85,ratio,>=,PROJECT_HEURISTIC,tum_e3_bounded_hparam_sweep_v1,f32320a7674ded0e791f40fa33ab519b171e5543,reproduction/cross_dataset/tum_e3_bounded_hparam_sweep_v1/build_e3_sweep_configs.py,61,"""meaningful_improvement"": {""delta1_improvement_gte"": 0.04, ""AbsRel_worsening_lte"": 0.01, ""ratio_range"": [0.85, 1.15]},",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00016,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,1.15,ratio,<=,PROJECT_HEURISTIC,tum_e3_bounded_hparam_sweep_v1,f32320a7674ded0e791f40fa33ab519b171e5543,reproduction/cross_dataset/tum_e3_bounded_hparam_sweep_v1/build_e3_sweep_configs.py,61,"""meaningful_improvement"": {""delta1_improvement_gte"": 0.04, ""AbsRel_worsening_lte"": 0.01, ""ratio_range"": [0.85, 1.15]},",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00017,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,1.15,ratio,<=,PROJECT_HEURISTIC,tum_e3_bounded_hparam_sweep_v1,f32320a7674ded0e791f40fa33ab519b171e5543,reproduction/cross_dataset/tum_e3_bounded_hparam_sweep_v1/rank_e3_sweep_candidates.py,32,"meaningful = values[""delta1_improvement""] >= .04 and values[""AbsRel_change""] <= .01 and .85 <= values[""ratio""] <= 1.15",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00018,AbsRel,mean(|d_pred-d_ref|/d_ref) on accepted target support,PAPER_OR_BENCHMARK_METRIC_DEFINITION,2,ratio,<=,PROJECT_HEURISTIC,tum_exact_pr33_c3_refinement_ablation_v1,873db911631d30f724c8547269454c6cc492cca0,reproduction/cross_dataset/tum_exact_pr33_c3_refinement_ablation_v1/audit_e3_static_safer_g0.py,341,"degraded = technical_pass and raw[""overlap""] >= 0.70 and .50 <= raw[""median_ratio""] <= 2.00 and raw[""AbsRel""] <= .50 and raw[""delta1""] >= .50",TUM,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,conditional depth geometry is weak under the stated support and aggregation,does not alone prove or disprove route-conditioned navigation safety
T00019,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,-1e-10,ratio,>=,SOFTWARE_NUMERICAL_TOLERANCE,tum_tuned_surface_geometry_ablation_v1,9256d24ae1806cc0b2e54cb870fa24517f7c9cef,reproduction/cross_dataset/tum_tuned_surface_geometry_ablation_v1/build_surface_oriented_prior.py,83,valid = (np.isfinite(eigenvalues).all(axis=1) & (eigenvalues >= -1e-10).all(axis=1),TUM,computed_in_threshold_version_history.json,False,INTEGRITY_HARD_GATE,True,retain_as_integrity_gate,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00020,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,>,SOFTWARE_NUMERICAL_TOLERANCE,arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2,3fe598dc497cc36b6848d2b9bf19c13955874199,reproduction/cross_dataset/arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2/arkitscenes_m1_supervision_v2_validation.json,1,"{""candidate"":""M1_CONFIDENCE_GE1"",""decision_digest"":""7f9d8bd2000b1d9de56a9418429643e37b55f34291a8c0aaada195ac873413cc"",""definition"":""(depth_raw > 0) AND (confidence >= 1)"",""frame_support_definition"":""M1_valid_pixels_frame >= max(1024, 0.05*M0_positive_pixels_frame)"",""gates"":{""all_group_pixel_retention_gates"":true,""all_group_supported_count_gates"":true,""global_retention_ge_0_30"":true,""longest_unsupported_run_le_5"":true,""supported_frame_fraction_ge_0_90"":true},""global"":{""frame_count"":214,""longest_u",ARKitScenes,computed_in_threshold_version_history.json,False,INTEGRITY_HARD_GATE,True,retain_as_integrity_gate,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00021,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,>=,PROJECT_HEURISTIC,arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2,3fe598dc497cc36b6848d2b9bf19c13955874199,reproduction/cross_dataset/arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2/evaluate_m1_supervision_v2.py,99,"global_m0 = sum(int(m0[i][""valid_pixel_count""]) for i in range(214))",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00022,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,==,PROJECT_HEURISTIC,arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2,3fe598dc497cc36b6848d2b9bf19c13955874199,reproduction/cross_dataset/arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2/evaluate_m1_supervision_v2.py,126,"""zero_valid_indices"": [i for i in range(214) if int(m1[i][""valid_pixel_count""]) == 0],",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00023,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2,3fe598dc497cc36b6848d2b9bf19c13955874199,reproduction/cross_dataset/arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2/evaluate_m1_supervision_v2.py,126,"""zero_valid_indices"": [i for i in range(214) if int(m1[i][""valid_pixel_count""]) == 0],",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00024,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,==,PROJECT_HEURISTIC,arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2,3fe598dc497cc36b6848d2b9bf19c13955874199,reproduction/cross_dataset/arkitscenes_confidence_ge1_supervision_zero_depth_contract_v2/test_empty_depth_safe_contract.py,105,"""invalid_position_gradients_zero"": max(max_invalid_gradient.values()) == 0.0,",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00025,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_depth_confidence_p99_tail_audit_v1,a35ec170aba60de821ecbad56642f092c70df792,reproduction/cross_dataset/arkitscenes_depth_confidence_p99_tail_audit_v1/REPORT_AUDIT_ARKITSCENES_DEPTH_CONFIDENCE_ALIGNMENT_AND_P99_TAIL_V1.md,77,"The top-frame registry uses evidence-bounded multi-label causes: `{'CONFIDENCE_ALIGNMENT_SUSPECT': 0, 'CONFIDENCE_READER_FAILURE': 0, 'CONFIDENCE_ZERO_OR_LOW': 20, 'DYNAMIC_OR_TRANSIENT_SUSPECT': 2, 'IMAGE_BORDER': 9, 'LONG_RANGE': 3, 'MESH_COVERAGE_GAP': 8, 'POSE_INTRINSICS_LOCAL_SUSPECT': 0, 'SENSOR_BEHIND_MESH': 9, 'SENSOR_IN_FRONT_OF_MESH': 11, 'TEMPORAL_INCONSISTENCY': 7, 'UNEXPLAINED': 0}`. `DYNAMIC_OR_TRANSIENT_SUSPECT` is used only when both temporal inconsistency and RGB temporal differ",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00026,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_depth_confidence_p99_tail_audit_v1,a35ec170aba60de821ecbad56642f092c70df792,reproduction/cross_dataset/arkitscenes_depth_confidence_p99_tail_audit_v1/report/REPORT_AUDIT_ARKITSCENES_DEPTH_CONFIDENCE_ALIGNMENT_AND_P99_TAIL_V1.md,77,"The top-frame registry uses evidence-bounded multi-label causes: `{'CONFIDENCE_ALIGNMENT_SUSPECT': 0, 'CONFIDENCE_READER_FAILURE': 0, 'CONFIDENCE_ZERO_OR_LOW': 20, 'DYNAMIC_OR_TRANSIENT_SUSPECT': 2, 'IMAGE_BORDER': 9, 'LONG_RANGE': 3, 'MESH_COVERAGE_GAP': 8, 'POSE_INTRINSICS_LOCAL_SUSPECT': 0, 'SENSOR_BEHIND_MESH': 9, 'SENSOR_IN_FRONT_OF_MESH': 11, 'TEMPORAL_INCONSISTENCY': 7, 'UNEXPLAINED': 0}`. `DYNAMIC_OR_TRANSIENT_SUSPECT` is used only when both temporal inconsistency and RGB temporal differ",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00027,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_gs_official_rgbd_join_handoff_v1,5efae49cf324c4b8bd0d3e5c19840e9776810665,reproduction/cross_dataset/arkitscenes_gs_official_rgbd_join_handoff_v1/arkitscenes_download_execution.json,1,"{""apple_video_id_full_download_count"":0,""artifact"":""arkitscenes_download_execution.json"",""blocking_gate"":""NO_ARKITSCENES_GS_TO_OFFICIAL_RGBD_FRAME_JOIN"",""final_decision"":""CLOSE_PUBLIC_PRETRAINED_EXTERNAL_MAP_SEARCH"",""forbidden_counts"":{""canonical_export_count"":0,""cbf_qp_count"":0,""discrete_count"":0,""geometry_evaluation_count"":0,""icp_count"":0,""map_filtering_count"":0,""map_fine_tuning_count"":0,""map_modification_count"":0,""map_training_count"":0,""navigation_count"":0,""recovery_count"":0,""risk_aware_count",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00028,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_gs_official_rgbd_join_handoff_v1,5efae49cf324c4b8bd0d3e5c19840e9776810665,reproduction/cross_dataset/arkitscenes_gs_official_rgbd_join_handoff_v1/arkitscenes_external_heldout_registry.json,1,"{""apple_video_id_full_download_count"":0,""artifact"":""arkitscenes_external_heldout_registry.json"",""blocking_gate"":""NO_ARKITSCENES_GS_TO_OFFICIAL_RGBD_FRAME_JOIN"",""final_decision"":""CLOSE_PUBLIC_PRETRAINED_EXTERNAL_MAP_SEARCH"",""forbidden_counts"":{""canonical_export_count"":0,""cbf_qp_count"":0,""discrete_count"":0,""geometry_evaluation_count"":0,""icp_count"":0,""map_filtering_count"":0,""map_fine_tuning_count"":0,""map_modification_count"":0,""map_training_count"":0,""navigation_count"":0,""recovery_count"":0,""risk_awar",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00029,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,==,PROJECT_HEURISTIC,arkitscenes_gs_official_rgbd_join_handoff_v1,5efae49cf324c4b8bd0d3e5c19840e9776810665,reproduction/cross_dataset/arkitscenes_gs_official_rgbd_join_handoff_v1/arkitscenes_handoff_common.py,466,"validation_pass=not script_errors and not json_errors and not access_gate_errors and token_like_match_count == 0 and not download_files and not materialized_files and not package_files,",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00030,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_gs_official_rgbd_join_handoff_v1,5efae49cf324c4b8bd0d3e5c19840e9776810665,reproduction/cross_dataset/arkitscenes_gs_official_rgbd_join_handoff_v1/arkitscenes_handoff_double_validation.json,1,"{""apple_video_id_full_download_count"":0,""artifact"":""arkitscenes_handoff_double_validation.json"",""blocking_gate"":""NO_ARKITSCENES_GS_TO_OFFICIAL_RGBD_FRAME_JOIN"",""disagreement_count"":0,""final_decision"":""CLOSE_PUBLIC_PRETRAINED_EXTERNAL_MAP_SEARCH"",""forbidden_counts"":{""canonical_export_count"":0,""cbf_qp_count"":0,""discrete_count"":0,""geometry_evaluation_count"":0,""icp_count"":0,""map_filtering_count"":0,""map_fine_tuning_count"":0,""map_modification_count"":0,""map_training_count"":0,""navigation_count"":0,""recov",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00031,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_gs_official_rgbd_join_handoff_v1,5efae49cf324c4b8bd0d3e5c19840e9776810665,reproduction/cross_dataset/arkitscenes_gs_official_rgbd_join_handoff_v1/arkitscenes_handoff_validation_A.json,1,"{""apple_video_id_full_download_count"":0,""artifact"":""arkitscenes_handoff_validation_A.json"",""blocking_gate"":""NO_ARKITSCENES_GS_TO_OFFICIAL_RGBD_FRAME_JOIN"",""final_decision"":""CLOSE_PUBLIC_PRETRAINED_EXTERNAL_MAP_SEARCH"",""forbidden_counts"":{""canonical_export_count"":0,""cbf_qp_count"":0,""discrete_count"":0,""geometry_evaluation_count"":0,""icp_count"":0,""map_filtering_count"":0,""map_fine_tuning_count"":0,""map_modification_count"":0,""map_training_count"":0,""navigation_count"":0,""recovery_count"":0,""risk_aware_cou",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00032,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_gs_official_rgbd_join_handoff_v1,5efae49cf324c4b8bd0d3e5c19840e9776810665,reproduction/cross_dataset/arkitscenes_gs_official_rgbd_join_handoff_v1/arkitscenes_handoff_validation_B.json,1,"{""apple_video_id_full_download_count"":0,""artifact"":""arkitscenes_handoff_validation_B.json"",""blocking_gate"":""NO_ARKITSCENES_GS_TO_OFFICIAL_RGBD_FRAME_JOIN"",""final_decision"":""CLOSE_PUBLIC_PRETRAINED_EXTERNAL_MAP_SEARCH"",""forbidden_counts"":{""canonical_export_count"":0,""cbf_qp_count"":0,""discrete_count"":0,""geometry_evaluation_count"":0,""icp_count"":0,""map_filtering_count"":0,""map_fine_tuning_count"":0,""map_modification_count"":0,""map_training_count"":0,""navigation_count"":0,""recovery_count"":0,""risk_aware_cou",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
T00033,coverage,accepted_target_count / target_count,PROJECT_DEFINED_METRIC,0,ratio,<=,PROJECT_HEURISTIC,arkitscenes_gs_official_rgbd_join_handoff_v1,5efae49cf324c4b8bd0d3e5c19840e9776810665,reproduction/cross_dataset/arkitscenes_gs_official_rgbd_join_handoff_v1/arkitscenes_metric_training_pose_join.json,1,"{""apple_video_id_full_download_count"":0,""artifact"":""arkitscenes_metric_training_pose_join.json"",""blocking_gate"":""NO_ARKITSCENES_GS_TO_OFFICIAL_RGBD_FRAME_JOIN"",""final_decision"":""CLOSE_PUBLIC_PRETRAINED_EXTERNAL_MAP_SEARCH"",""forbidden_counts"":{""canonical_export_count"":0,""cbf_qp_count"":0,""discrete_count"":0,""geometry_evaluation_count"":0,""icp_count"":0,""map_filtering_count"":0,""map_fine_tuning_count"":0,""map_modification_count"":0,""map_training_count"":0,""navigation_count"":0,""recovery_count"":0,""risk_awar",ARKitScenes,computed_in_threshold_version_history.json,True,LEGACY_UNCALIBRATED_HARD_GATE,False,downgrade_to_descriptive_or_conditionally_calibrated,support is missing or rejected under one renderer working point,does not alone prove or disprove route-conditioned navigation safety
